@relation detectMovementType

@attribute mean numeric
@attribute stdDeviation numeric
@attribute min numeric
@attribute max numeric
@attribute movementType {walking,biking,driving}
@attribute sensor {accelerometer}

@data
9.722023,1.420357,6.153928,13.552486,biking,accelerometer
10.151221,1.726388,6.153928,15.359929,biking,accelerometer
10.005024,2.044317,5.412386,15.359929,biking,accelerometer
9.636127,1.869504,5.412386,14.076383,biking,accelerometer
9.435364,1.431097,7.0293,13.538126,biking,accelerometer
9.749229,1.289462,7.0293,13.03187,biking,accelerometer
10.008083,1.046352,7.370654,13.03187,biking,accelerometer
9.846522,1.588134,5.612618,15.39156,biking,accelerometer
9.83409,1.498075,5.612618,15.39156,biking,accelerometer
9.963031,0.79971,8.117448,12.338685,biking,accelerometer
9.816976,1.130377,7.148871,12.357567,biking,accelerometer
9.758263,1.452674,6.839025,15.054777,biking,accelerometer
10.007616,1.402311,6.839025,15.054777,biking,accelerometer
9.976474,1.522013,5.836641,12.622261,biking,accelerometer
9.718591,2.090574,4.572006,14.061251,biking,accelerometer
9.567162,2.373909,4.531395,14.957079,biking,accelerometer
9.566056,2.423782,4.531395,14.957079,biking,accelerometer
9.769294,2.422662,3.87619,15.139182,biking,accelerometer
10.22349,2.540904,3.87619,16.049507,biking,accelerometer
10.269026,2.505806,4.315194,16.049507,biking,accelerometer
10.01529,2.423131,4.700953,16.48032,biking,accelerometer
9.544068,2.74646,4.700953,16.48032,biking,accelerometer
9.677205,2.905168,3.851245,15.255083,biking,accelerometer
10.220777,2.640857,3.851245,15.673013,biking,accelerometer
9.84799,2.387536,5.382173,15.673013,biking,accelerometer
9.744166,2.080976,5.382173,15.670711,biking,accelerometer
10.042745,2.555946,5.454446,17.665115,biking,accelerometer
10.051443,2.615494,5.454446,17.665115,biking,accelerometer
9.979625,2.222246,5.780741,14.788047,biking,accelerometer
9.927207,2.167572,5.780741,14.788047,biking,accelerometer
9.841017,1.876356,5.638069,13.766036,biking,accelerometer
9.798136,1.873748,5.564696,13.207568,biking,accelerometer
9.656572,2.038089,5.564696,13.207568,biking,accelerometer
9.464091,2.185545,5.602219,13.220854,biking,accelerometer
9.598369,2.219323,5.602219,13.220854,biking,accelerometer
9.969941,2.265089,5.896404,13.884714,biking,accelerometer
10.086461,2.382064,5.393019,16.01153,biking,accelerometer
9.957374,2.336461,5.393019,16.01153,biking,accelerometer
9.709393,2.324942,5.49957,14.047187,biking,accelerometer
9.420593,2.380671,5.331166,14.047187,biking,accelerometer
9.834895,2.446553,5.331166,13.694025,biking,accelerometer
10.236567,2.396987,5.794762,14.988581,biking,accelerometer
9.948763,2.285282,5.293381,14.988581,biking,accelerometer
9.482038,2.386245,4.699807,13.751486,biking,accelerometer
9.58488,2.572207,4.699807,14.996035,biking,accelerometer
10.099971,2.595512,4.121107,15.887679,biking,accelerometer
10.134776,2.570356,4.121107,15.887679,biking,accelerometer
9.682143,2.679744,4.06531,15.41642,biking,accelerometer
9.458425,2.653921,4.06531,14.583173,biking,accelerometer
10.053607,2.617127,4.675761,14.583173,biking,accelerometer
10.359128,2.645292,4.683596,16.123808,biking,accelerometer
10.082677,2.925672,4.872967,18.655294,biking,accelerometer
9.687436,2.831554,4.872967,18.655294,biking,accelerometer
9.504511,2.373671,5.200988,14.221394,biking,accelerometer
9.807838,2.273064,5.318818,13.895788,biking,accelerometer
10.109062,2.29678,5.175396,14.097326,biking,accelerometer
10.058053,2.349365,5.175396,14.180742,biking,accelerometer
