ID,value,axis,IDvec
1,0.19020079999999998,1,1
2,0.40220642,2,1
3,11.037063999999999,3,1
4,0.027389526,1,2
5,0.84991455,2,2
6,9.351547,3,2
7,0.28836059999999997,1,3
8,0.5769806,2,3
9,9.650818,3,3
10,1.2843475,1,4
11,0.65119934,2,4
12,9.420975,3,4
13,-0.42510986,1,5
14,0.6871033000000001,2,5
15,9.751373,3,5
16,-0.6142578000000001,1,6
17,0.51472473,2,6
18,10.232605,3,6
19,0.62594604,1,7
20,0.60092163,2,7
21,9.401825,3,7
22,0.9563446,1,8
23,0.6488037,2,8
24,9.593353,3,8
25,-0.14498901,1,9
26,0.34953308,2,9
27,10.120087,3,9
28,0.23329163,1,10
29,0.50753784,2,10
30,9.464066,3,10
31,0.79592896,1,11
32,0.41896057,2,11
33,9.983611999999999,3,11
34,0.72410583,1,12
35,0.10771179,2,12
36,9.959671,3,12
37,-0.52326965,1,13
38,-0.23944092,2,13
39,11.412949000000001,3,13
40,-0.90634155,1,14
41,0.60809326,2,14
42,8.774536,3,14
43,0.72410583,1,15
44,0.14840698,2,15
45,10.3762665,3,15
46,2.6394653,1,16
47,0.28488159999999996,2,16
48,10.416962,3,16
49,-1.2966003000000001,1,17
50,0.43331909999999996,2,17
51,8.37471,3,17
52,-1.943039,1,18
53,0.20826721,2,18
54,8.420197,3,18
55,2.4239807,1,19
56,0.22264099,2,19
57,10.828766,3,19
58,1.8685303,1,20
59,0.26812744,2,20
60,10.213455,3,20
61,0.2955475,1,21
62,0.36868286,2,21
63,9.710678,3,21
64,-0.71481323,1,22
65,0.19868469,2,22
66,8.697922,3,22
67,0.8988799999999999,1,23
68,0.23699951,2,23
69,11.044235,3,23
70,1.5932007,1,24
71,0.7110443000000001,2,24
72,9.258163,3,24
73,0.5636901999999999,1,25
74,0.14840698,2,25
75,9.5191345,3,25
76,-1.7754363999999998,1,26
77,-0.17480469,2,26
78,11.568572999999999,3,26
79,1.3418121,1,27
80,0.51712036,2,27
81,8.884674,3,27
82,1.0497131000000002,1,28
83,0.0717926,2,28
84,11.403366,3,28
85,-1.0667572,1,29
86,0.67274475,2,29
87,9.167191,3,29
88,1.2843475,1,30
89,0.5338745,2,30
90,9.782501,3,30
91,-0.32215879999999997,1,31
92,0.4835968,2,31
93,9.428162,3,31
94,0.59721375,1,32
95,0.658371,2,32
96,9.241408999999999,3,32
97,0.7217102,1,33
98,0.10052489999999999,2,33
99,9.564621,3,33
100,-1.3253326,1,34
101,-0.16522217,2,34
102,11.1017,3,34
103,0.66664124,1,35
104,0.6200713999999999,2,35
105,8.628494,3,35
106,0.6450958000000001,1,36
107,0.13404846,2,36
108,10.764114,3,36
109,-0.83451843,1,37
110,0.6464081,2,37
111,8.805664,3,37
112,1.8445892,1,38
113,0.26094055,2,38
114,10.292465,3,38
115,-0.46821594,1,39
116,0.23220825,2,39
117,9.729828,3,39
118,1.0161896000000001,1,40
119,0.5889435000000001,2,40
120,8.642853,3,40
121,0.9683075000000001,1,41
122,0.0382843,2,41
123,9.964462,3,41
124,-1.4306793,1,42
125,-0.34718323,2,42
126,12.380203,3,42
127,1.6171417,1,43
128,0.28967285,2,43
129,8.25499,3,43
130,-0.08514404,1,44
131,0.021514892999999997,2,44
132,10.804825,3,44
133,1.1837921,1,45
134,0.74935913,2,45
135,8.618912,3,45
136,0.8270569,1,46
137,0.04307556,2,46
138,9.612503,3,46
139,-2.2207642000000005,1,47
140,-0.52674866,2,47
141,12.013900999999999,3,47
142,1.3322296,1,48
143,0.52430725,2,48
144,7.3092804000000005,3,48
145,0.5349579000000001,1,49
146,-0.08621216,2,49
147,11.4776,3,49
148,-0.47538757,1,50
149,0.26573179999999996,2,50
150,9.990799,3,50
151,0.66664124,1,51
152,0.28488159999999996,2,51
153,8.068253,3,51
154,-0.654953,1,52
155,-0.028762817000000003,2,52
156,10.682724,3,52
157,1.7176971,1,53
158,0.31121826,2,53
159,8.480057,3,53
160,-1.8736115000000002,1,54
161,-0.6680145000000001,2,54
162,11.377028999999999,3,54
163,1.511795,1,55
164,0.2729187,2,55
165,9.107330000000001,3,55
166,2.2970886000000004,1,56
167,-0.7015228,2,56
168,12.674698,3,56
169,-3.1401367000000002,1,57
170,-0.10298157,2,57
171,9.234222,3,57
172,2.6131287,1,58
173,0.31121826,2,58
174,9.18634,3,58
175,0.44877625,1,59
176,0.8187866,2,59
177,9.040298,3,59
178,-0.9111328000000002,1,60
179,0.10771179,2,60
180,9.703491,3,60
181,0.85339355,1,61
182,-0.038330078,2,61
183,8.980438000000001,3,61
184,-0.9111328000000002,1,62
185,-0.5075989000000001,2,62
186,11.666733,3,62
187,3.1374664,1,63
188,0.54345703,2,63
189,8.051483000000001,3,63
190,-0.9302826,1,64
191,0.16517639,2,64
192,10.469635,3,64
193,0.5134125,1,65
194,-0.1341095,2,65
195,10.357101,3,65
196,2.337799,1,66
197,0.41177368,2,66
198,8.592575,3,66
199,-1.5144806,1,67
200,-0.39266968,2,67
201,11.738555999999999,3,67
202,0.58283997,1,68
203,-0.0072021483999999995,2,68
204,10.062622,3,68
205,0.046539307,1,69
206,0.29925537,2,69
207,9.703491,3,69
208,1.5572815,1,70
209,0.19630432,2,70
210,9.6987,3,70
211,0.26681520000000003,1,71
212,0.9337158000000001,2,71
213,6.746643,3,71
214,-1.3325195,1,72
215,-0.6009674,2,72
216,12.964386,3,72
217,1.2771606000000002,1,73
218,0.9049834999999999,2,73
219,7.036346400000001,3,73
220,-0.08514404,1,74
221,-0.11015319999999999,2,74
222,10.685103999999999,3,74
223,-0.092315674,1,75
224,-0.12213135,2,75
225,10.713837,3,75
226,0.53974915,1,76
227,0.5817566,2,76
228,7.934173599999999,3,76
229,-0.6836853,1,77
230,-0.39506529999999995,2,77
231,12.24852,3,77
232,2.0026093,1,78
233,0.9313201999999999,2,78
234,6.722702000000001,3,78
235,-1.1864624,1,79
236,-0.14846802,2,79
237,11.254928999999999,3,79
238,0.79592896,1,80
239,0.23460388,2,80
240,9.516739,3,80
241,0.9371948,1,81
242,0.11489868,2,81
243,7.3092804000000005,3,81
244,-0.30540466,1,82
245,-2.006363,2,82
246,18.222061,3,82
247,0.4774933,1,83
248,1.0821533,2,83
249,3.9286803999999997,3,83
250,0.108795166,1,84
251,-0.6153411999999999,2,84
252,13.524628,3,84
253,1.6578369,1,85
254,1.4987488000000002,2,85
255,6.579056,3,85
256,-0.71481323,1,86
257,-0.63209534,2,86
258,9.71785,3,86
259,0.5253906,1,87
260,-0.5578766,2,87
261,13.254089000000002,3,87
262,0.61157227,1,88
263,1.1300354,2,88
264,3.002121,3,88
265,1.677002,1,89
266,-1.247406,2,89
267,16.979461999999998,3,89
268,-0.45863342,1,90
269,1.3742523000000002,2,90
270,3.172104,3,90
271,-0.07556152,1,91
272,-0.9696808000000001,2,91
273,12.906937,3,91
274,-0.039642334,1,92
275,0.52430725,2,92
276,8.520752,3,92
277,1.8182526,1,93
278,-0.6153411999999999,2,93
279,9.511948,3,93
280,2.5269318,1,94
281,-1.733429,2,94
282,15.576462,3,94
283,9.431808,1,95
284,0.47402954,2,95
285,4.4075165,3,95
286,7.7822113,1,96
287,-2.181137,2,96
288,10.469635,3,96
289,6.319351,1,97
290,-2.3894347999999996,2,97
291,10.941284,3,97
292,0.29315186,1,98
293,-1.9321442,2,98
294,6.5838470000000004,3,98
295,3.3768768,1,99
296,-2.322403,2,99
297,14.233322,3,99
298,4.808609,1,100
299,-1.1420593,2,100
300,6.4354095000000004,3,100
301,8.050353999999999,1,101
302,-2.6599884,2,101
303,10.364288,3,101
304,2.0026093,1,102
305,-2.2817078,2,102
306,10.843124000000001,3,102
307,2.2372437,1,103
308,-1.52034,2,103
309,8.597366000000001,3,103
310,4.7463684,1,104
311,-1.8028563999999998,2,104
312,10.352325,3,104
313,2.8621216,1,105
314,-1.7454071,2,105
315,10.440903,3,105
316,4.6960907,1,106
317,-1.6855468999999996,2,106
318,9.035507,3,106
319,4.3968050000000005,1,107
320,-2.1476287999999997,2,107
321,9.784897,3,107
322,0.6522826999999999,1,108
323,-1.6711731,2,108
324,10.742569,3,108
325,3.1398467999999995,1,109
326,-1.563446,2,109
327,9.79686,3,109
328,3.3792725,1,110
329,-1.3120421999999998,2,110
330,8.956497,3,110
331,2.2444153,1,111
332,-1.2162781,2,111
333,11.532653999999999,3,111
334,3.041687,1,112
335,-1.2019196,2,112
336,9.121704,3,112
337,4.377655,1,113
338,-1.5538635,2,113
339,9.076202,3,113
340,1.7871245999999998,1,114
341,-1.2354279,2,114
342,10.127258,3,114
343,2.1223145,1,115
344,-0.9624939,2,115
345,10.783278999999999,3,115
346,2.9339447,1,116
347,-0.6847687,2,116
348,8.3172455,3,116
349,2.5125732000000003,1,117
350,-1.5849915,2,117
351,10.179932,3,117
352,1.8972626,1,118
353,-1.4030303999999998,2,118
354,9.91658,3,118
355,3.3696900000000003,1,119
356,-1.0510864,2,119
357,9.990799,3,119
358,1.8302307,1,120
359,-1.1181183000000001,2,120
360,10.294861000000001,3,120
361,1.0832367,1,121
362,-0.5674591,2,121
363,7.294922,3,121
364,2.0792236,1,122
365,-1.4700623,2,122
366,12.428085000000001,3,122
367,2.167801,1,123
368,-0.27056885,2,123
369,8.41301,3,123
370,1.5548859,1,124
371,-1.0486908000000001,2,124
372,10.436111,3,124
373,3.0991516,1,125
374,-1.0438995,2,125
375,8.415405,3,125
376,1.3394165,1,126
377,-1.0989685,2,126
378,10.615677,3,126
379,2.3641357000000003,1,127
380,-0.6081543,2,127
381,10.079376,3,127
382,2.579605,1,128
383,-0.6991272,2,128
384,9.744186000000001,3,128
385,2.4910278,1,129
386,-1.0151671999999998,2,129
387,9.538283999999999,3,129
388,2.088791,1,130
389,-0.8260193000000001,2,130
390,9.332382,3,130
391,-0.18807983,1,131
392,-0.59617615,2,131
393,11.597305,3,131
394,3.0392914,1,132
395,-0.32803345,2,132
396,8.784119,3,132
397,2.9985962,1,133
398,-1.5658417,2,133
399,11.539841000000001,3,133
400,2.7160797000000003,1,134
401,-1.2378235,2,134
402,8.417800999999999,3,134
403,1.1023865,1,135
404,-0.5291443,2,135
405,10.285278,3,135
406,0.44638062,1,136
407,-0.39746094,2,136
408,10.49118,3,136
409,3.1853485,1,137
410,-0.658432,2,137
411,9.20549,3,137
412,2.8142395000000002,1,138
413,-1.4533081,2,138
414,10.103317,3,138
415,0.32426453,1,139
416,-0.7422333000000001,2,139
417,8.293304,3,139
418,0.65945435,1,140
419,-0.9505309999999999,2,140
420,10.9891815,3,140
421,2.2683562999999998,1,141
422,-0.84039307,2,141
423,9.971634,3,141
424,3.0464783,1,142
425,-0.7661743000000001,2,142
426,9.346756,3,142
427,1.195755,1,143
428,-0.8906708000000001,2,143
429,9.966858,3,143
430,-0.6262207,1,144
431,-0.52674866,2,144
432,9.164795,3,144
433,1.0114136,1,145
434,-0.37591553,2,145
435,9.875869999999999,3,145
436,2.270752,1,146
437,-0.48365784,2,146
438,11.305206,3,146
439,1.463913,1,147
440,-0.33282470000000003,2,147
441,8.832001,3,147
442,2.0002136000000004,1,148
443,-0.44534302,2,148
444,9.923752,3,148
445,1.2628021,1,149
446,-0.5578766,2,149
447,9.578994999999999,3,149
448,0.9084625,1,150
449,-0.26817322,2,150
450,9.047485,3,150
451,0.8509979,1,151
452,-0.59617615,2,151
453,10.938903999999999,3,151
454,2.2492064999999997,1,152
455,-0.24423218,2,152
456,9.729828,3,152
457,2.2779388,1,153
458,-0.24423218,2,153
459,9.799255,3,153
460,1.9523314999999999,1,154
461,-0.4022522,2,154
462,9.8663025,3,154
463,0.8581848,1,155
464,-0.5291443,2,155
465,9.42337,3,155
466,1.756012,1,156
467,-0.19874573,2,156
468,9.634064,3,156
469,0.5924225000000001,1,157
470,-0.40464783,2,157
471,10.876648,3,157
472,0.55410767,1,158
473,0.10292053,2,158
474,8.788910000000001,3,158
475,-0.013305663999999998,1,159
476,-1.0989685,2,159
477,11.592514,3,159
478,0.2237091,1,160
479,-0.49084473,2,160
480,9.109726,3,160
481,0.99464417,1,161
482,-0.36395264,2,161
483,9.250992,3,161
484,-1.0428162,1,162
485,-0.40943909999999994,2,162
486,10.94368,3,162
487,-0.69566345,1,163
488,0.34713745,2,163
489,9.001984,3,163
490,1.1837921,1,164
491,-0.39985657,2,164
492,10.318802,3,164
493,0.7624054,1,165
494,0.31121826,2,165
495,9.021149000000001,3,165
496,0.606781,1,166
497,-0.33761597,2,166
498,10.931716999999999,3,166
499,-0.9662018,1,167
500,0.5338745,2,167
501,8.087402,3,167
502,-0.31019592,1,168
503,0.09095764,2,168
504,10.871857,3,168
505,1.4375763000000001,1,169
506,-0.019180298000000002,2,169
507,9.150421000000001,3,169
508,0.89408875,1,170
509,-0.34718323,2,170
510,11.410553,3,170
511,0.19499207,1,171
512,0.5410614,2,171
513,8.288513,3,171
514,-0.9446564000000001,1,172
515,0.43331909999999996,2,172
516,9.825592,3,172
517,-0.42990112,1,173
518,-0.0048217773,2,173
519,9.957275,3,173
520,1.1646423000000001,1,174
521,-0.014389038,2,174
522,9.933334,3,174
523,1.4160309,1,175
524,-0.10298157,2,175
525,10.182327,3,175
526,0.51101685,1,176
527,0.3423462,2,176
528,10.505554,3,176
529,0.039367676000000004,1,177
530,1.0127258,2,177
531,7.72348,3,177
532,-1.1768951,1,178
533,0.023910522000000003,2,178
534,10.455261,3,178
535,0.47511292,1,179
536,-0.18916321,2,179
537,10.304428,3,179
538,2.5532684,1,180
539,0.28488159999999996,2,180
